"";"be";"response";"ncomp";"rmse";"r_squared";"smpl";"model";"rmse_sd"
"100";"AEG";"EVENESS";3;0,0745816701082061;0,511018141879427;1;"Model_3_RELUI";0,777209127729873
"101";"AEG";"EVENESS";1;0,0790145524994729;0,432696892624961;2;"Model_3_RELUI";0,823403811378644
"102";"AEG";"EVENESS";1;0,0958894460721667;0,64947699792523;3;"Model_3_RELUI";0,999255616455408
"103";"AEG";"EVENESS";1;0,0907608154875027;0,512768409103077;4;"Model_3_RELUI";0,945810601113537
"104";"AEG";"EVENESS";2;0,0763618070164883;0,558580667544006;5;"Model_3_RELUI";0,79575978034624
"105";"AEG";"EVENESS";3;0,0735049872625309;0,482903060526538;2;"Model_4_CLIMALUI";0,765989109002552
"106";"AEG";"EVENESS";2;0,076525270660472;0,430063699585934;1;"Model_1_RE";0,797463220829294
"107";"AEG";"EVENESS";2;0,081261673062963;0,464722738332318;2;"Model_1_RE";0,846820860239579
"108";"AEG";"EVENESS";2;0,097610464811167;0,488649781878708;3;"Model_1_RE";1,01719020374749
"109";"AEG";"EVENESS";3;0,0766992713268212;0,562954502232142;2;"Model_5_RECLIMALUI";0,799276466710238
"110";"AEG";"EVENESS";3;0,0904049635447654;0,577364219803083;3;"Model_5_RECLIMALUI";0,942102298824052
"111";"AEG";"EVENESS";3;0,0841520807734976;0,544665453910696;4;"Model_5_RECLIMALUI";0,876941548771078
"112";"AEG";"EVENESS";1;0,0976142880318853;0,578204658396951;4;"Model_2_LUI";1,01723004519963
"113";"AEG";"EVENESS";1;0,0806400890409283;0,481824183657538;5;"Model_2_LUI";0,840343386955922
"114";"AEG";"EVENESS";3;0,093427370400573;0,239753572597286;3;"Model_0_RE";0,973598539021395
"115";"AEG";"EVENESS";2;0,0939526107852911;0,49192758435305;4;"Model_0_RE";0,979072023600957
"116";"AEG";"EVENESS";1;0,0795621665565963;0,460953627673524;5;"Model_0_RE";0,829110450061473
"117";"AEG";"EVENESS";2;0,0860964801731038;0,549998062284984;2;"Model_0_RE";0,897203966589477
"118";"AEG";"EVENESS";1;0,0917950921321586;0,287017012894976;4;"Model_1_RE";0,956588708491102
"119";"AEG";"EVENESS";1;0,0819514818449606;0,435453904598459;5;"Model_1_RE";0,854009297840654
"120";"AEG";"EVENESS";3;0,0728928532823392;0,494577339377692;5;"Model_5_RECLIMALUI";0,759610113786859
"121";"AEG";"SHANNON";3;0,337968959944092;0,383777464679355;1;"Model_3_RELUI";0,746209061551227
"122";"AEG";"SHANNON";3;0,337968959944092;0,383777464679355;1;"Model_5_RECLIMALUI";0,746209061551227
"123";"AEG";"SHANNON";1;0,344930614097792;0,48340601781163;2;"Model_5_RECLIMALUI";0,761579850080849
"124";"AEG";"SHANNON";1;0,35459721770843;0,490892252991206;1;"Model_2_LUI";0,782922955701776
"125";"AEG";"SHANNON";3;0,373137070092757;0,532174103496147;3;"Model_4_CLIMALUI";0,823857501440222
"126";"AEG";"SHANNON";2;0,379026419478398;0,658454724587947;4;"Model_4_CLIMALUI";0,836860724810007
"127";"AEG";"SHANNON";2;0,395290991981868;0,354479979889488;4;"Model_2_LUI";0,872771630315512
"128";"AEG";"SHANNON";2;0,333839946518464;0,620418260192715;5;"Model_2_LUI";0,737092522464384
"129";"AEG";"SHANNON";2;0,351405248818133;0,504213733735196;2;"Model_2_LUI";0,775875337747384
"130";"AEG";"SHANNON";1;0,411425536237889;0,532658455165256;3;"Model_2_LUI";0,908395443608407
"131";"AEG";"SHANNON";2;0,395092701163034;0,590071197182414;4;"Model_3_RELUI";0,872333819677929
"132";"AEG";"SHANNON";3;0,343679854719588;0,542824963509059;1;"Model_4_CLIMALUI";0,758818271082615
"133";"AEG";"SHANNON";1;0,331192783500705;0,547923015114829;2;"Model_4_CLIMALUI";0,731247793316529
"134";"AEG";"SHANNON";1;0,368234025164204;0,368990805051721;1;"Model_1_RE";0,813031961261964
"135";"AEG";"SHANNON";2;0,383141485902209;0,504205105862467;2;"Model_1_RE";0,845946470006373
"136";"AEG";"SHANNON";2;0,432764570808109;0,400032440438646;3;"Model_1_RE";0,955510364942269
"137";"AEG";"SHANNON";1;0,411941296410553;0,605165859835513;4;"Model_1_RE";0,909534201778662
"138";"AEG";"SHANNON";3;0,37120072370825;0,507955918633135;3;"Model_5_RECLIMALUI";0,819582199889868
"139";"AEG";"SHANNON";3;0,354567443925574;0,6548814398857;4;"Model_5_RECLIMALUI";0,782857217515146
"140";"AEG";"SHANNON";3;0,313922233693478;0,583334866952524;5;"Model_5_RECLIMALUI";0,69311576851089
"141";"AEG";"SHANNON";2;0,372611767272492;0,486838037745244;2;"Model_0_RE";0,822697673849533
"142";"AEG";"SHANNON";1;0,353096664175913;0,529096887939358;2;"Model_3_RELUI";0,779609850724645
"143";"AEG";"SHANNON";2;0,409663454417309;0,436445614812007;3;"Model_3_RELUI";0,904504904601721
"144";"AEG";"SHANNON";2;0,360203917794049;0,461865144592569;1;"Model_0_RE";0,795302111497567
"145";"AEG";"SHANNON";1;0,422886826623164;0,423551154845247;3;"Model_0_RE";0,933701077427491
"146";"AEG";"SHANNON";1;0,412658274446506;0,434372114042882;4;"Model_0_RE";0,911117233271998
"147";"AEG";"SHANNON";2;0,395336807347329;0,327033613068071;5;"Model_0_RE";0,872872787063371
"148";"AEG";"SHANNON";2;0,334653049169883;0,49890831906791;5;"Model_4_CLIMALUI";0,73888778959945
"149";"AEG";"SHANNON";3;0,329873839543525;0,613497285058931;5;"Model_3_RELUI";0,72833566809447
"150";"AEG";"SHANNON";1;0,375529061867649;0,450079469470514;5;"Model_1_RE";0,829138832417705
"151";"AEG";"SPECRICH";3;7,24143201020557;0,576664655850284;1;"Model_5_RECLIMALUI";0,693621573870476
"152";"AEG";"SPECRICH";2;7,39893008110782;0,548068056286451;2;"Model_5_RECLIMALUI";0,708707548532231
